Ticker
MMM
ABT
ABBV
ACN
GOOG
MO
AMZN
AEP
AXP
AIG
AMGN
AAPL
T
BAC
BK
BAX
BRKB
BIIB
BA
BMY
AVGO
COF
CAT
CVX
CSCO
C
KO
CL
CMCSA
COP
COST
CVS
DVN
DOW
EBAY
EMR
EXC
XOM
FDX
F
FCX
GD
GM
GILD
GS
HAL
HD
HON
HPQ
INTC
IBM
JNJ
JPM
LLY
LMT
LOW
MA
MCD
MDT
MRK
META
MET
MSFT
MDLZ
MS
NFLX
NKE
NSC
ORCL
PEP
PFE
PM
PG
QCOM
RTX
SPG
SO
SBUX
TGT
TSLA
TXN
TMO
TMUS
UNP
UNH
UPS
USB
VZ
V
WBA
WMT
DIS
WFC
WMB
